State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Hindus,Muslims,Christians,Others_Religions,Households_with_Computer,Housholds_with_Electric_Lighting,Urban_Households,Rural_Households,Higher_Education,Graduate_Education,Illiterate_Education,Literate_Education,SC,ST,sex ratio,literacy_rate,Illiterate_rate
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,1422986,17332,47653,1782,13857,297308,66638,354278,93340,66358,460166,1017307,224942,505609,99.0,64.0,31.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,2239370,227465,17452,1159,96301,547206,377160,581868,221410,204507,482420,1861740,134952,305125,96.0,74.0,18.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,3881485,103038,23181,10680,59523,728556,395001,673499,267265,227382,1247434,2674728,724250,476446,98.0,65.0,31.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,2126195,81442,97432,48295,18983,253131,65167,525596,105992,64607,991866,1299718,115652,1300628,98.0,50.0,42.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,171537,16087,2618,79,4543,49249,61073,10006,14170,9128,20641,119741,4262,15240,53.0,79.0,11.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,2397056,334858,2586,77,26991,498326,287506,489237,137505,139957,669022,1886269,265793,55571,95.0,67.0,24.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,622213,57941,134169,166,56266,173951,209230,115859,87513,86781,99538,636063,17606,56606,96.0,81.0,12.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,341664,63623,231961,92,44299,138810,162873,88620,64786,57460,88577,463596,7843,92669,99.0,78.0,14.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,6042416,883238,50754,2055,273651,1456046,1845383,353169,549188,839295,1129562,5805299,759483,89138,90.0,75.0,16.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,1410463,99105,919,40,12765,273331,116899,313714,66785,50999,380595,1039194,132915,7322,96.0,66.0,25.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,1798794,250919,29789,142,32523,378310,208909,413078,127459,110351,360506,1588947,104465,24824,92.0,74.0,17.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,2890305,213505,1686,83,23149,396873,137424,666773,105372,66950,1207376,1799274,327460,284155,94.0,55.0,39.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,1188204,343511,9494,342,29531,309091,181319,300677,83895,74380,273829,1056350,62235,488194,93.0,72.0,18.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,2632574,212863,3457,127,28925,500757,356826,387251,96241,93391,508664,2103528,157034,9110,93.0,66.0,18.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,1319586,57273,3237,82,33662,262539,195634,237624,95730,108400,246993,1049555,108608,18204,92.0,74.0,18.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,1810443,320805,4392,136,30384,386538,299167,347158,74029,87523,502873,1320610,173895,24187,94.0,65.0,23.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,2397056,334858,2586,77,26991,498326,287506,489237,137505,139957,669022,1886269,265793,55571,95.0,67.0,24.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,1608921,442355,6192,98,31961,403294,250982,488293,61366,60386,581952,1150801,258859,24228,91.0,60.0,28.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,2000884,264482,26629,82,24502,372226,160547,461479,148530,84223,482078,1749234,115631,40336,94.0,72.0,21.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,1885732,136431,1954,88,33731,385609,183738,476005,139208,130723,434497,1474304,162288,9392,93.0,74.0,21.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,576,559848,22600,4413,2078,4081,101940,22248,138121,28396,14748,192780,380328,8733,481392,96.0,63.0,33.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,1225087,78669,5733,2823,24397,267679,141417,267739,112460,85041,261956,967020,35464,639659,96.0,75.0,20.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,2220974,158513,2863,131,19753,398937,104238,463363,139773,71810,781582,1575872,100446,721604,95.0,60.0,33.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,2231,1194745,142797,916,66,12870,223424,102655,301483,57494,46355,452891,856932,123408,13303,94.0,62.0,34.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,1653,549749,33565,500,38,5639,117040,87557,96015,25119,22458,137119,389163,51830,13039,95.0,67.0,23.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,21785,3397406,361388,5478,269,67370,747352,721532,459474,204306,266295,738660,2740751,290169,24017,93.0,72.0,19.0
